C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.6,2.5,12.0,2,4,1,64,836,101,101,95,0.05940594059405946,0.9405940594059405,0.4741328104612958,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.2,12.0,2,4,1,64,839,58,58,57,0.017241379310344862,0.9827586206896551,0.4780398620515272,adual_iltd_C0.0100503_rho0.6_l03.2_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,2.8,12.0,2,4,1,64,849,85,85,82,0.03529411764705881,0.9647058823529412,0.47645099397381807,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.0,12.0,2,4,1,64,853,75,75,72,0.040000000000000036,0.96,0.4900169632780883,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,1.0,2.5,12.0,2,4,1,64,837,84,84,81,0.0357142857142857,0.9642857142857143,0.47444915406727295,adual_iltd_C0.0100503_rho1.0_l02.5_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.8,2.5,12.0,2,4,1,64,839,90,90,86,0.0444444444444444,0.9555555555555556,0.4777924268766561,adual_iltd_C0.0100503_rho0.8_l02.5_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,2.8,12.0,2,4,2,64,848,84,84,78,0.0714285714285714,0.9285714285714286,0.49166984004972675,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed2_steps64
0.0100503,0.6,2.8,12.0,2,4,3,64,850,69,69,68,0.01449275362318836,0.9855072463768116,0.47158653810477785,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed3_steps64
0.0100503,0.8,2.3,12.0,2,4,1,64,843,99,99,94,0.0505050505050505,0.9494949494949495,0.4722275428840373,adual_iltd_C0.0100503_rho0.8_l02.3_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.8,2.8,12.0,2,4,1,64,846,85,85,82,0.03529411764705881,0.9647058823529412,0.47551437981179134,adual_iltd_C0.0100503_rho0.8_l02.8_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.7,2.5,12.0,2,8,1,64,1079,84,84,79,0.059523809523809534,0.9404761904761905,0.48866395305704025,adual_iltd_C0.0100503_rho0.7_l02.5_lmax12.0_J2_n8_seed1_steps64
0.0100503,0.6,2.8,12.0,2,16,1,64,1582,68,68,65,0.044117647058823484,0.9558823529411765,0.48359584574044534,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n16_seed1_steps64
0.0100503,0.6,2.8,12.0,2,4,7,64,835,68,68,65,0.044117647058823484,0.9558823529411765,0.46856128926950863,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed7_steps64
0.0100503,0.6,2.8,12.0,2,4,6,64,847,75,75,71,0.053333333333333344,0.9466666666666667,0.46727705357104615,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed6_steps64
0.0100503,0.6,2.8,12.0,2,4,4,64,850,73,73,69,0.0547945205479452,0.9452054794520548,0.4817551659899629,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed4_steps64
0.0100503,0.6,2.8,12.0,2,4,5,64,852,70,70,68,0.02857142857142858,0.9714285714285714,0.46856449516041,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed5_steps64
0.0100503,0.9,2.0,12.0,2,4,1,64,842,99,99,93,0.06060606060606055,0.9393939393939394,0.4723000266254517,adual_iltd_C0.0100503_rho0.9_l02.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.7,2.0,12.0,2,4,1,64,844,100,100,94,0.06000000000000005,0.94,0.48002141085013084,adual_iltd_C0.0100503_rho0.7_l02.0_lmax12.0_J2_n4_seed1_steps64
